유형,법정동,중학생,고등학생,잠정고객수,학원수,아파트세대수
메가타겟,광주 서구 광천동 행정복지센터,8348,8355,835,289,96161
메가타겟,대전 중구 문화1동 행정복지센터,6914,9771,834,180,73188
메가타겟,인천 남동구 구월3동 행정복지센터,8565,8048,831,295,103399
메가타겟,인천 남동구 구월4동 행정복지센터,9731,6867,830,232,73271
메가타겟,대구 남구 봉덕2동 행정복지센터,7019,9492,826,642,93744
메가타겟,대전 중구 문창동 행정복지센터,7072,9420,825,119,57124
메가타겟,인천 서구 가좌2동 행정복지센터,7539,8957,825,198,53171
메가타겟,인천 미추홀구 관교동 행정복지센터,9107,7346,823,314,115645
메가타겟,충남 천안시 동남구 중앙동 행정복지센터,9367,7087,823,146,79290
메가타겟,부산 금정구 부곡2동 행정복지센터,6841,9550,820,380,56973
메가타겟,부산 연제구 연산9동 행정복지센터,9266,7063,816,325,97685
메가타겟,대구 수성구 황금1동 행정복지센터,9315,7003,816,679,71237
메가타겟,대구 남구 대명10동 행정복지센터,5335,10939,814,223,71458
메가타겟,대구 동구 신천3동 행정복지센터,7694,8532,811,745,124011
메가타겟,경기 안양시 만안구 안양5동 행정복지센터,6462,9717,809,244,110981
메가타겟,광주 서구 양3동 행정복지센터,6756,9413,808,377,109986
메가타겟,경기 부천시 오정구 고강1동 행정복지센터,8072,8080,808,202,40982
메가타겟,광주 서구 화정1동 행정복지센터,8119,8004,806,250,76828
메가타겟,대전 중구 유천1동 행정복지센터,7678,8359,802,238,82245
메가타겟,경기 안양시 만안구 안양1동 행정복지센터,5631,10331,798,166,76605
메가타겟,경기 고양시 일산동구 풍산동 행정복지센터,8053,7866,796,284,72913
메가타겟,경기 화성시 동탄4동 행정복지센터,8818,7019,792,89,49572
메가타겟,광주 서구 농성2동 행정복지센터,7332,8337,783,276,83365
메가타겟,광주 북구 운암2동 행정복지센터,6959,8670,781,269,89437
메가타겟,대구 수성구 두산동 행정복지센터,9004,6528,777,278,54821
메가타겟,부산 금정구 구서2동 행정복지센터,7153,8337,774,380,56973
메가타겟,부산 금정구 장전2동 행정복지센터,7153,8337,774,380,56973
메가타겟,경기 성남시 분당구 구미동 행정복지센터,7312,8087,770,207,85620
메가타겟,경기 화성시 병점1동 행정복지센터,8070,7339,770,84,47284
메가타겟,대구 남구 대명5동 행정복지센터,7005,8339,767,251,62831
메가타겟,인천 연수구 연수1동 행정복지센터,7683,7653,767,161,81924
메가타겟,부산 부산진구 범천2동 주민센터,7052,8277,766,171,73053
메가타겟,부산 부산진구 범천1동 주민센터,5415,9872,764,183,73228
메가타겟,인천 연수구 청학동 행정복지센터,7556,7685,762,92,54878
메가타겟,인천 중구 도원동 행정복지센터,6310,8939,762,126,47065
메가타겟,부산 수영구 망미2동 행정복지센터,9706,5523,761,260,65279
메가타겟,부산 남구 문현2동 행정복지센터,5319,9832,758,209,82245
메가타겟,대구 서구 평리4동 행정복지센터,5803,9283,754,206,78948
메가타겟,경기 안양시 만안구 안양3동 행정복지센터,4647,10428,754,166,45681
메가타겟,경기 안양시 만안구 안양4동 행정복지센터,4647,10428,754,166,75288
메가타겟,경기 부천시 원미구 도당동 행정복지센터,7636,7448,754,248,20422
메가타겟,인천 연수구 옥련2동 행정복지센터,7556,7511,753,89,52518
메가타겟,부산 해운대구 재송1동 행정복지센터,8721,6230,748,229,77090
메가타겟,대전 중구 문화2동 행정복지센터,6607,8356,748,165,59313
메가타겟,대구 남구 봉덕3동 행정복지센터,6868,8080,747,332,72733
메가타겟,대구 서구 상중이동 행정복지센터,5522,9397,746,194,66759
메가타겟,부산 수영구 수영동 행정복지센터,8840,6045,744,206,65279
메가타겟,대구 서구 평리2동 행정복지센터,6046,8825,744,203,79329
메가타겟,경기 안양시 만안구 안양2동 행정복지센터,5437,9449,744,166,75288
메가타겟,충북 청주시 흥덕구 운천·신봉동 행정복지센터,4711,10113,741,210,61553
메가타겟,인천 중구 신흥동 행정복지센터,6310,8493,740,126,47065
메가타겟,광주 북구 중앙동 행정복지센터,6279,8474,738,283,74292
